OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
Hele landet;I alt;I alt;Ugift;2020K1;2844060
Region Hovedstaden;I alt;I alt;Ugift;2020K1;973802
København;I alt;I alt;Ugift;2020K1;412512
Frederiksberg;I alt;I alt;Ugift;2020K1;60781
Dragør;I alt;I alt;Ugift;2020K1;5844
Tårnby;I alt;I alt;Ugift;2020K1;19947
Albertslund;I alt;I alt;Ugift;2020K1;13795
Ballerup;I alt;I alt;Ugift;2020K1;22371
Brøndby;I alt;I alt;Ugift;2020K1;16245
Gentofte;I alt;I alt;Ugift;2020K1;35130
Gladsaxe;I alt;I alt;Ugift;2020K1;34731
Glostrup;I alt;I alt;Ugift;2020K1;11193
Herlev;I alt;I alt;Ugift;2020K1;13767
Hvidovre;I alt;I alt;Ugift;2020K1;26533
Høje-Taastrup;I alt;I alt;Ugift;2020K1;23532
Ishøj;I alt;I alt;Ugift;2020K1;10808
Lyngby-Taarbæk;I alt;I alt;Ugift;2020K1;27810
Rødovre;I alt;I alt;Ugift;2020K1;20055
Vallensbæk;I alt;I alt;Ugift;2020K1;7354
Allerød;I alt;I alt;Ugift;2020K1;10586
Egedal;I alt;I alt;Ugift;2020K1;18274
Fredensborg;I alt;I alt;Ugift;2020K1;17135
Frederikssund;I alt;I alt;Ugift;2020K1;18530
Furesø;I alt;I alt;Ugift;2020K1;17443
Gribskov;I alt;I alt;Ugift;2020K1;15993
Halsnæs;I alt;I alt;Ugift;2020K1;12656
Helsingør;I alt;I alt;Ugift;2020K1;27077
Hillerød;I alt;I alt;Ugift;2020K1;23306
Hørsholm;I alt;I alt;Ugift;2020K1;9677
Rudersdal;I alt;I alt;Ugift;2020K1;24690
Bornholm;I alt;I alt;Ugift;2020K1;15996
Christiansø;I alt;I alt;Ugift;2020K1;31
Region Sjælland;I alt;I alt;Ugift;2020K1;368715
Greve;I alt;I alt;Ugift;2020K1;21016
Køge;I alt;I alt;Ugift;2020K1;27189
Lejre;I alt;I alt;Ugift;2020K1;11553
Roskilde;I alt;I alt;Ugift;2020K1;41111
Solrød;I alt;I alt;Ugift;2020K1;9955
Faxe;I alt;I alt;Ugift;2020K1;15575
Guldborgsund;I alt;I alt;Ugift;2020K1;25908
Holbæk;I alt;I alt;Ugift;2020K1;32235
Kalundborg;I alt;I alt;Ugift;2020K1;21163
Lolland;I alt;I alt;Ugift;2020K1;17132
Næstved;I alt;I alt;Ugift;2020K1;38119
Odsherred;I alt;I alt;Ugift;2020K1;13011
Ringsted;I alt;I alt;Ugift;2020K1;16052
Slagelse;I alt;I alt;Ugift;2020K1;37269
Sorø;I alt;I alt;Ugift;2020K1;13232
Stevns;I alt;I alt;Ugift;2020K1;9085
Vordingborg;I alt;I alt;Ugift;2020K1;19110
Region Syddanmark;I alt;I alt;Ugift;2020K1;568126
Assens;I alt;I alt;Ugift;2020K1;17711
Faaborg-Midtfyn;I alt;I alt;Ugift;2020K1;22004
Kerteminde;I alt;I alt;Ugift;2020K1;9789
Langeland;I alt;I alt;Ugift;2020K1;4583
Middelfart;I alt;I alt;Ugift;2020K1;16533
Nordfyns;I alt;I alt;Ugift;2020K1;12701
Nyborg;I alt;I alt;Ugift;2020K1;13803
Odense;I alt;I alt;Ugift;2020K1;112490
Svendborg;I alt;I alt;Ugift;2020K1;26178
Ærø;I alt;I alt;Ugift;2020K1;2174
Billund;I alt;I alt;Ugift;2020K1;11719
Esbjerg;I alt;I alt;Ugift;2020K1;55014
Fanø;I alt;I alt;Ugift;2020K1;1258
Fredericia;I alt;I alt;Ugift;2020K1;23719
Haderslev;I alt;I alt;Ugift;2020K1;24806
Kolding;I alt;I alt;Ugift;2020K1;44898
Sønderborg;I alt;I alt;Ugift;2020K1;32107
Tønder;I alt;I alt;Ugift;2020K1;15874
Varde;I alt;I alt;Ugift;2020K1;21766
Vejen;I alt;I alt;Ugift;2020K1;19285
Vejle;I alt;I alt;Ugift;2020K1;54448
Aabenraa;I alt;I alt;Ugift;2020K1;25266
Region Midtjylland;I alt;I alt;Ugift;2020K1;653428
Favrskov;I alt;I alt;Ugift;2020K1;21794
Hedensted;I alt;I alt;Ugift;2020K1;20301
Horsens;I alt;I alt;Ugift;2020K1;44353
Norddjurs;I alt;I alt;Ugift;2020K1;16360
Odder;I alt;I alt;Ugift;2020K1;9599
Randers;I alt;I alt;Ugift;2020K1;46936
Samsø;I alt;I alt;Ugift;2020K1;1281
Silkeborg;I alt;I alt;Ugift;2020K1;43672
Skanderborg;I alt;I alt;Ugift;2020K1;28692
Syddjurs;I alt;I alt;Ugift;2020K1;17996
Aarhus;I alt;I alt;Ugift;2020K1;208509
Herning;I alt;I alt;Ugift;2020K1;41719
Holstebro;I alt;I alt;Ugift;2020K1;27357
Ikast-Brande;I alt;I alt;Ugift;2020K1;18551
Lemvig;I alt;I alt;Ugift;2020K1;7900
Ringkøbing-Skjern;I alt;I alt;Ugift;2020K1;24254
Skive;I alt;I alt;Ugift;2020K1;20222
Struer;I alt;I alt;Ugift;2020K1;8562
Viborg;I alt;I alt;Ugift;2020K1;45370
Region Nordjylland;I alt;I alt;Ugift;2020K1;279989
Brønderslev;I alt;I alt;Ugift;2020K1;16246
Frederikshavn;I alt;I alt;Ugift;2020K1;24767
Hjørring;I alt;I alt;Ugift;2020K1;28574
Jammerbugt;I alt;I alt;Ugift;2020K1;16286
Læsø;I alt;I alt;Ugift;2020K1;593
Mariagerfjord;I alt;I alt;Ugift;2020K1;18168
Morsø;I alt;I alt;Ugift;2020K1;8740
Rebild;I alt;I alt;Ugift;2020K1;13553
Thisted;I alt;I alt;Ugift;2020K1;18696
Vesthimmerlands;I alt;I alt;Ugift;2020K1;16172
Aalborg;I alt;I alt;Ugift;2020K1;118194
