OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
Hele landet;I alt;I alt;Ugift;2020K1;2844060
Hele landet;I alt;I alt;Gift/separeret;2020K1;2146017
Hele landet;I alt;0 år;Ugift;2020K1;61466
Hele landet;I alt;0 år;Gift/separeret;2020K1;0
Hele landet;I alt;1 år;Ugift;2020K1;61916
Hele landet;I alt;1 år;Gift/separeret;2020K1;0
Hele landet;I alt;2 år;Ugift;2020K1;62148
Hele landet;I alt;2 år;Gift/separeret;2020K1;0
Hele landet;I alt;3 år;Ugift;2020K1;62697
Hele landet;I alt;3 år;Gift/separeret;2020K1;0
Hele landet;I alt;4 år;Ugift;2020K1;59661
Hele landet;I alt;4 år;Gift/separeret;2020K1;0
Hele landet;I alt;5 år;Ugift;2020K1;58993
Hele landet;I alt;5 år;Gift/separeret;2020K1;0
Hele landet;I alt;6 år;Ugift;2020K1;58415
Hele landet;I alt;6 år;Gift/separeret;2020K1;0
Hele landet;I alt;7 år;Ugift;2020K1;60745
Hele landet;I alt;7 år;Gift/separeret;2020K1;0
Hele landet;I alt;8 år;Ugift;2020K1;61926
Hele landet;I alt;8 år;Gift/separeret;2020K1;0
Hele landet;I alt;9 år;Ugift;2020K1;66522
Hele landet;I alt;9 år;Gift/separeret;2020K1;0
Hele landet;I alt;10 år;Ugift;2020K1;66254
Hele landet;I alt;10 år;Gift/separeret;2020K1;0
Hele landet;I alt;11 år;Ugift;2020K1;68649
Hele landet;I alt;11 år;Gift/separeret;2020K1;0
Hele landet;I alt;12 år;Ugift;2020K1;67673
Hele landet;I alt;12 år;Gift/separeret;2020K1;0
Hele landet;I alt;13 år;Ugift;2020K1;68523
Hele landet;I alt;13 år;Gift/separeret;2020K1;0
Hele landet;I alt;14 år;Ugift;2020K1;67530
Hele landet;I alt;14 år;Gift/separeret;2020K1;0
Hele landet;I alt;15 år;Ugift;2020K1;67768
Hele landet;I alt;15 år;Gift/separeret;2020K1;0
Hele landet;I alt;16 år;Ugift;2020K1;67948
Hele landet;I alt;16 år;Gift/separeret;2020K1;0
Hele landet;I alt;17 år;Ugift;2020K1;67304
Hele landet;I alt;17 år;Gift/separeret;2020K1;0
Hele landet;I alt;18 år;Ugift;2020K1;68617
Hele landet;I alt;18 år;Gift/separeret;2020K1;22
Hele landet;I alt;19 år;Ugift;2020K1;71504
Hele landet;I alt;19 år;Gift/separeret;2020K1;115
Hele landet;I alt;20 år;Ugift;2020K1;71833
Hele landet;I alt;20 år;Gift/separeret;2020K1;281
Hele landet;I alt;21 år;Ugift;2020K1;73207
Hele landet;I alt;21 år;Gift/separeret;2020K1;664
Hele landet;I alt;22 år;Ugift;2020K1;75122
Hele landet;I alt;22 år;Gift/separeret;2020K1;1258
Hele landet;I alt;23 år;Ugift;2020K1;75745
Hele landet;I alt;23 år;Gift/separeret;2020K1;2114
Hele landet;I alt;24 år;Ugift;2020K1;77467
Hele landet;I alt;24 år;Gift/separeret;2020K1;3646
Hele landet;I alt;25 år;Ugift;2020K1;76345
Hele landet;I alt;25 år;Gift/separeret;2020K1;5721
Hele landet;I alt;26 år;Ugift;2020K1;71228
Hele landet;I alt;26 år;Gift/separeret;2020K1;8353
Hele landet;I alt;27 år;Ugift;2020K1;68537
Hele landet;I alt;27 år;Gift/separeret;2020K1;11834
Hele landet;I alt;28 år;Ugift;2020K1;62475
Hele landet;I alt;28 år;Gift/separeret;2020K1;14949
Hele landet;I alt;29 år;Ugift;2020K1;58328
Hele landet;I alt;29 år;Gift/separeret;2020K1;18836
Hele landet;I alt;30 år;Ugift;2020K1;52300
Hele landet;I alt;30 år;Gift/separeret;2020K1;22174
Hele landet;I alt;31 år;Ugift;2020K1;46450
Hele landet;I alt;31 år;Gift/separeret;2020K1;25138
Hele landet;I alt;32 år;Ugift;2020K1;40898
Hele landet;I alt;32 år;Gift/separeret;2020K1;27131
Hele landet;I alt;33 år;Ugift;2020K1;37539
Hele landet;I alt;33 år;Gift/separeret;2020K1;28994
Hele landet;I alt;34 år;Ugift;2020K1;34180
Hele landet;I alt;34 år;Gift/separeret;2020K1;30281
Hele landet;I alt;35 år;Ugift;2020K1;30423
Hele landet;I alt;35 år;Gift/separeret;2020K1;30981
Hele landet;I alt;36 år;Ugift;2020K1;27835
Hele landet;I alt;36 år;Gift/separeret;2020K1;31663
Hele landet;I alt;37 år;Ugift;2020K1;26510
Hele landet;I alt;37 år;Gift/separeret;2020K1;33571
Hele landet;I alt;38 år;Ugift;2020K1;24551
Hele landet;I alt;38 år;Gift/separeret;2020K1;34543
Hele landet;I alt;39 år;Ugift;2020K1;24424
Hele landet;I alt;39 år;Gift/separeret;2020K1;37175
